"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Lumpkin County, GA"	"13187"	4992	625283	798.4
	"McDuffie County, GA"	"13189"	5281	472133	1118.5
	"McIntosh County, GA"	"13191"	2656	291473	911.2
	"Macon County, GA"	"13193"	3403	307884	1105.3
	"Madison County, GA"	"13195"	5966	612171	974.6
	"Marion County, GA"	"13197"	1782	179721	991.5
	"Meriwether County, GA"	"13199"	5740	482353	1190.0
	"Miller County, GA"	"13201"	1863	133213	1398.5
	"Mitchell County, GA"	"13205"	5409	509481	1061.7
	"Monroe County, GA"	"13207"	5288	560508	943.4
	"Montgomery County, GA"	"13209"	1848	196472	940.6
	"Morgan County, GA"	"13211"	3744	385535	971.1
	"Murray County, GA"	"13213"	7246	862070	840.5
	"Muscogee County, GA"	"13215"	41027	4208313	974.9
	"Newton County, GA"	"13217"	15830	2048900	772.6
	"Oconee County, GA"	"13219"	4564	713338	639.8
	"Oglethorpe County, GA"	"13221"	2821	313308	900.4
	"Paulding County, GA"	"13223"	15370	2894649	531.0
	"Peach County, GA"	"13225"	5824	576612	1010.0
	"Pickens County, GA"	"13227"	6196	629170	984.8
	"Pierce County, GA"	"13229"	4301	395508	1087.5
	"Pike County, GA"	"13231"	3457	370518	933.0
	"Polk County, GA"	"13233"	10316	895782	1151.6
	"Pulaski County, GA"	"13235"	2514	242887	1035.0
	"Putnam County, GA"	"13237"	4677	456067	1025.5
	"Quitman County, GA"	"13239"	716	53794	1331.0
	"Rabun County, GA"	"13241"	4262	355092	1200.3
	"Randolph County, GA"	"13243"	2172	164060	1323.9
	"Richmond County, GA"	"13245"	43318	4395920	985.4
	"Rockdale County, GA"	"13247"	13473	1816546	741.7
	"Schley County, GA"	"13249"	864	102772	840.7
	"Screven County, GA"	"13251"	3767	321124	1173.1
	"Seminole County, GA"	"13253"	2624	193402	1356.8
	"Spalding County, GA"	"13255"	15043	1383852	1087.0
	"Stephens County, GA"	"13257"	7502	565666	1326.2
	"Stewart County, GA"	"13259"	1547	127677	1211.7
	"Sumter County, GA"	"13261"	7611	702210	1083.9
	"Talbot County, GA"	"13263"	1842	144880	1271.4
	"Taliaferro County, GA"	"13265"	591	39253	1505.6
	"Tattnall County, GA"	"13267"	5168	532325	970.8
	"Taylor County, GA"	"13269"	2248	188888	1190.1
	"Telfair County, GA"	"13271"	3431	333334	1029.3
	"Terrell County, GA"	"13273"	2624	211802	1238.9
	"Thomas County, GA"	"13275"	11040	969421	1138.8
	"Tift County, GA"	"13277"	8607	875151	983.5
	"Toombs County, GA"	"13279"	6615	589981	1121.2
	"Towns County, GA"	"13281"	3433	232365	1477.4
	"Treutlen County, GA"	"13283"	1691	149844	1128.5
	"Troup County, GA"	"13285"	14791	1445843	1023.0
	"Turner County, GA"	"13287"	2447	192611	1270.4
	"Twiggs County, GA"	"13289"	2407	202919	1186.2
	"Union County, GA"	"13291"	6138	462656	1326.7
	"Upson County, GA"	"13293"	8027	594019	1351.3
	"Walker County, GA"	"13295"	17004	1466594	1159.4
	"Walton County, GA"	"13297"	15365	1765886	870.1
	"Ware County, GA"	"13299"	9964	784646	1269.9
	"Warren County, GA"	"13301"	1808	127942	1413.1
	"Washington County, GA"	"13303"	5067	458111	1106.1
	"Wayne County, GA"	"13305"	6665	640088	1041.3
	"Webster County, GA"	"13307"	546	57392	951.4
	"Wheeler County, GA"	"13309"	1387	159858	867.6
	"White County, GA"	"13311"	5577	576116	968.0
	"Whitfield County, GA"	"13313"	17358	2154121	805.8
	"Wilcox County, GA"	"13315"	2264	194965	1161.2
	"Wilkes County, GA"	"13317"	3113	226702	1373.2
	"Wilkinson County, GA"	"13319"	2499	210922	1184.8
	"Worth County, GA"	"13321"	4755	470342	1011.0
	"Hawaii County, HI"	"15001"	32156	3954961	813.1
	"Honolulu County, HI"	"15003"	152988	20744766	737.5
	"Kalawao County, HI"	"15005"	25	2315	1079.9
	"Kauai County, HI"	"15007"	11381	1457035	781.1
	"Maui County, HI"	"15009"	22140	3332215	664.4
	"Ada County, ID"	"16001"	54630	8577851	636.9
	"Adams County, ID"	"16003"	790	85377	925.3
	"Bannock County, ID"	"16005"	14217	1788929	794.7
	"Bear Lake County, ID"	"16007"	1412	134048	1053.4
	"Benewah County, ID"	"16009"	2407	201291	1195.8
	"Bingham County, ID"	"16011"	7265	976561	743.9
	"Blaine County, ID"	"16013"	2097	466026	450.0
	"Boise County, ID"	"16015"	1022	155651	656.6
	"Bonner County, ID"	"16017"	8437	896828	940.8
	"Bonneville County, ID"	"16019"	16473	2225403	740.2
	"Boundary County, ID"	"16021"	2292	238788	959.8
	"Butte County, ID"	"16023"	615	60509	1016.4
	"Camas County, ID"	"16025"	163	23575	691.4
	"Canyon County, ID"	"16027"	28350	4041953	701.4
	"Caribou County, ID"	"16029"	1460	154047	947.8
	"Cassia County, ID"	"16031"	4211	496625	847.9
	"Clark County, ID"	"16033"	135	20196	668.4
	"Clearwater County, ID"	"16035"	2212	191276	1156.4
	"Custer County, ID"	"16037"	872	93011	937.5
	"Elmore County, ID"	"16039"	3846	589952	651.9
	"Franklin County, ID"	"16041"	2071	277315	746.8
	"Fremont County, ID"	"16043"	2193	280721	781.2
	"Gem County, ID"	"16045"	4240	365724	1159.3
	"Gooding County, ID"	"16047"	3096	328499	942.5
	"Idaho County, ID"	"16049"	3805	352049	1080.8
	"Jefferson County, ID"	"16051"	3112	542799	573.3
	"Jerome County, ID"	"16053"	3415	470952	725.1
	"Kootenai County, ID"	"16055"	25665	3012779	851.9
	"Latah County, ID"	"16057"	4757	821499	579.1
	"Lemhi County, ID"	"16059"	2104	171722	1225.2
	"Lewis County, ID"	"16061"	956	83106	1150.3
	"Lincoln County, ID"	"16063"	839	108107	776.1
	"Madison County, ID"	"16065"	2848	775506	367.2
	"Minidoka County, ID"	"16067"	3969	440507	901.0
	"Nez Perce County, ID"	"16069"	10207	858293	1189.2
	"Oneida County, ID"	"16071"	895	93380	958.4
	"Owyhee County, ID"	"16073"	2019	248477	812.6
	"Payette County, ID"	"16075"	4482	490848	913.1
	"Power County, ID"	"16077"	1290	167084	772.1
	"Shoshone County, ID"	"16079"	3903	283772	1375.4
	"Teton County, ID"	"16081"	801	204537	391.6
	"Twin Falls County, ID"	"16083"	15599	1667601	935.4
	"Valley County, ID"	"16085"	1459	209335	697.0
	"Washington County, ID"	"16087"	2643	221502	1193.2
	"Adams County, IL"	"17001"	17997	1472844	1221.9
	"Alexander County, IL"	"17003"	2448	175821	1392.3
	"Bond County, IL"	"17005"	3876	384197	1008.9
	"Boone County, IL"	"17007"	8062	1118766	720.6
	"Brown County, IL"	"17009"	1300	150664	862.8
	"Bureau County, IL"	"17011"	8804	756664	1163.5
	"Calhoun County, IL"	"17013"	1311	110081	1190.9
	"Carroll County, IL"	"17015"	4283	338918	1263.7
	"Cass County, IL"	"17017"	3365	291692	1153.6
	"Champaign County, IL"	"17019"	27009	4352382	620.6
	"Christian County, IL"	"17021"	9222	756314	1219.3
	"Clark County, IL"	"17023"	4566	359360	1270.6
	"Clay County, IL"	"17025"	3910	303834	1286.9
	"Clinton County, IL"	"17027"	7488	816683	916.9
	"Coles County, IL"	"17029"	11216	1161928	965.3
	"Cook County, IL"	"17031"	927912	115071336	806.4
	"Crawford County, IL"	"17033"	5088	433227	1174.4
	"Cumberland County, IL"	"17035"	2629	242144	1085.7
	"DeKalb County, IL"	"17037"	14831	2214999	669.6
	"De Witt County, IL"	"17039"	4312	361372	1193.2
	"Douglas County, IL"	"17041"	4400	437278	1006.2
	"DuPage County, IL"	"17043"	130884	20200825	647.9
	"Edgar County, IL"	"17045"	5373	405601	1324.7
	"Edwards County, IL"	"17047"	1778	146969	1209.8
	"Effingham County, IL"	"17049"	7574	753913	1004.6
	"Fayette County, IL"	"17051"	5068	479274	1057.4
	"Ford County, IL"	"17053"	4476	304927	1467.9
	"Franklin County, IL"	"17055"	12094	861967	1403.1
	"Fulton County, IL"	"17057"	10385	806165	1288.2
	"Gallatin County, IL"	"17059"	1830	124342	1471.7
	"Greene County, IL"	"17061"	3699	304782	1213.7
	"Grundy County, IL"	"17063"	8277	1026538	806.3
	"Hamilton County, IL"	"17065"	2369	184252	1285.7
	"Hancock County, IL"	"17067"	4690	418275	1121.3
	"Hardin County, IL"	"17069"	1439	95728	1503.2
	"Henderson County, IL"	"17071"	1898	162299	1169.4
	"Henry County, IL"	"17073"	11884	1101910	1078.5
	"Iroquois County, IL"	"17075"	8538	649565	1314.4
	"Jackson County, IL"	"17077"	10570	1303329	811.0
	"Jasper County, IL"	"17079"	2277	215050	1058.8
	"Jefferson County, IL"	"17081"	9770	857070	1139.9
	"Jersey County, IL"	"17083"	5443	491226	1108.0
	"Jo Daviess County, IL"	"17085"	5188	490400	1057.9
	"Johnson County, IL"	"17087"	2766	279617	989.2
	"Kane County, IL"	"17089"	63517	10861574	584.8
	"Kankakee County, IL"	"17091"	24252	2407038	1007.5
	"Kendall County, IL"	"17093"	10265	2215606	463.3
	"Knox County, IL"	"17095"	15190	1159816	1309.7
	"Lake County, IL"	"17097"	92842	15138115	613.3
	"LaSalle County, IL"	"17099"	28614	2459528	1163.4
	"Lawrence County, IL"	"17101"	4716	359121	1313.2
	"Lee County, IL"	"17103"	8234	776884	1059.9
	"Livingston County, IL"	"17105"	9405	841446	1117.7
	"Logan County, IL"	"17107"	7462	663263	1125.0
	"McDonough County, IL"	"17109"	6752	705487	957.1
	"McHenry County, IL"	"17111"	41448	6528920	634.8
	"McLean County, IL"	"17113"	24547	3643645	673.7
	"Macon County, IL"	"17115"	26793	2413369	1110.2
	"Macoupin County, IL"	"17117"	12744	1041565	1223.5
	"Madison County, IL"	"17119"	60818	5827823	1043.6
	"Marion County, IL"	"17121"	11383	866778	1313.3
	"Marshall County, IL"	"17123"	3695	273875	1349.2
	"Mason County, IL"	"17125"	4277	323410	1322.5
	"Massac County, IL"	"17127"	4627	329878	1402.6
	"Menard County, IL"	"17129"	2757	275543	1000.6
	"Mercer County, IL"	"17131"	3964	358983	1104.2
	"Monroe County, IL"	"17133"	6070	705192	860.8
	"Montgomery County, IL"	"17135"	7993	654861	1220.6
	"Morgan County, IL"	"17137"	8892	778061	1142.8
	"Moultrie County, IL"	"17139"	4240	321799	1317.6
	"Ogle County, IL"	"17141"	10745	1146877	936.9
	"Peoria County, IL"	"17143"	39637	4047574	979.3
	"Perry County, IL"	"17145"	5443	487165	1117.3
	"Piatt County, IL"	"17147"	3587	362908	988.4
	"Pike County, IL"	"17149"	4660	361692	1288.4
	"Pope County, IL"	"17151"	1115	95251	1170.6
	"Pulaski County, IL"	"17153"	1938	136928	1415.3
	"Putnam County, IL"	"17155"	1261	129901	970.7
	"Randolph County, IL"	"17157"	8313	729228	1140.0
	"Richland County, IL"	"17159"	4480	353821	1266.2
	"Rock Island County, IL"	"17161"	33916	3226067	1051.3
	"St. Clair County, IL"	"17163"	56627	5779846	979.7
	"Saline County, IL"	"17165"	8381	551891	1518.6
	"Sangamon County, IL"	"17167"	41392	4283147	966.4
	"Schuyler County, IL"	"17169"	1948	159600	1220.6
	"Scott County, IL"	"17171"	1317	116371	1131.7
	"Shelby County, IL"	"17173"	5369	489078	1097.8
	"Stark County, IL"	"17175"	1783	130587	1365.4
	"Stephenson County, IL"	"17177"	11889	1036477	1147.1
	"Tazewell County, IL"	"17179"	29884	2913989	1025.5
	"Union County, IL"	"17181"	5172	388916	1329.9
	"Vermilion County, IL"	"17183"	21390	1779071	1202.3
	"Wabash County, IL"	"17185"	3029	265092	1142.6
	"Warren County, IL"	"17187"	4378	390980	1119.8
	"Washington County, IL"	"17189"	3557	322163	1104.1
	"Wayne County, IL"	"17191"	4631	367697	1259.5
	"White County, IL"	"17193"	5051	321687	1570.2
	"Whiteside County, IL"	"17195"	14399	1279437	1125.4
	"Will County, IL"	"17197"	85913	14097656	609.4
	"Williamson County, IL"	"17199"	16636	1433945	1160.2
	"Winnebago County, IL"	"17201"	59987	6311033	950.5
	"Woodford County, IL"	"17203"	8071	831297	970.9
	"Adams County, IN"	"18001"	6737	757579	889.3
	"Allen County, IN"	"18003"	64750	7808724	829.2
	"Bartholomew County, IN"	"18005"	15420	1696514	908.9
	"Benton County, IN"	"18007"	2010	195735	1026.9
	"Blackford County, IN"	"18009"	3400	282784	1202.3
	"Boone County, IN"	"18011"	10385	1247451	832.5
	"Brown County, IN"	"18013"	3148	333310	944.5
	"Carroll County, IN"	"18015"	3963	442953	894.7
	"Cass County, IN"	"18017"	9091	859236	1058.0
	"Clark County, IN"	"18019"	23902	2379400	1004.5
	"Clay County, IN"	"18021"	6667	586718	1136.3
	"Clinton County, IN"	"18023"	8002	727287	1100.3
	"Crawford County, IN"	"18025"	2523	236358	1067.4
	"Daviess County, IN"	"18027"	7123	693459	1027.2
	"Dearborn County, IN"	"18029"	9429	1074331	877.7
	"Decatur County, IN"	"18031"	5661	566558	999.2
	"De Kalb County, IN"	"18033"	8412	923126	911.3
	"Delaware County, IN"	"18035"	27014	2581119	1046.6
	"Dubois County, IN"	"18037"	8532	915862	931.6
	"Elkhart County, IN"	"18039"	34655	4317023	802.8
	"Fayette County, IN"	"18041"	6886	532659	1292.8
	"Floyd County, IN"	"18043"	16197	1635696	990.2
	"Fountain County, IN"	"18045"	4528	377596	1199.2
	"Franklin County, IN"	"18047"	4434	501889	883.5
	"Fulton County, IN"	"18049"	5146	449884	1143.9
	"Gibson County, IN"	"18051"	7757	732747	1058.6
	"Grant County, IN"	"18053"	17951	1532989	1171.0
	"Greene County, IN"	"18055"	8235	722112	1140.4
	"Hamilton County, IN"	"18057"	29528	5871156	502.9
	"Hancock County, IN"	"18059"	12326	1488779	827.9
	"Harrison County, IN"	"18061"	7736	839433	921.6
	"Hendricks County, IN"	"18063"	21055	3102619	678.6
	"Henry County, IN"	"18065"	12637	1069583	1181.5
	"Howard County, IN"	"18067"	20795	1835550	1132.9
	"Huntington County, IN"	"18069"	8854	818099	1082.3
	"Jackson County, IN"	"18071"	9819	936722	1048.2
	"Jasper County, IN"	"18073"	6570	714812	919.1
	"Jay County, IN"	"18075"	5121	469154	1091.5
	"Jefferson County, IN"	"18077"	7627	707920	1077.4
	"Jennings County, IN"	"18079"	5951	616492	965.3
	"Johnson County, IN"	"18081"	25742	3027882	850.2
	"Knox County, IN"	"18083"	10045	840065	1195.7
	"Kosciusko County, IN"	"18085"	14632	1694587	863.5
	"Lagrange County, IN"	"18087"	5492	820970	669.0
	"Lake County, IN"	"18089"	106824	10760620	992.7
	"La Porte County, IN"	"18091"	25200	2427765	1038.0
	"Lawrence County, IN"	"18093"	11601	1010287	1148.3
	"Madison County, IN"	"18095"	32662	2882779	1133.0
	"Marion County, IN"	"18097"	172067	19924011	863.6
	"Marshall County, IN"	"18099"	9683	1021588	947.8
	"Martin County, IN"	"18101"	2328	226142	1029.4
	"Miami County, IN"	"18103"	7746	802779	964.9
	"Monroe County, IN"	"18105"	18759	2982769	628.9
	"Montgomery County, IN"	"18107"	8548	837896	1020.2
	"Morgan County, IN"	"18109"	13736	1512267	908.3
	"Newton County, IN"	"18111"	3372	313091	1077.0
	"Noble County, IN"	"18113"	9297	1041021	893.1
	"Ohio County, IN"	"18115"	1299	129987	999.3
	"Orange County, IN"	"18117"	4885	431768	1131.4
	"Owen County, IN"	"18119"	4971	472516	1052.0
	"Parke County, IN"	"18121"	3550	378382	938.2
	"Perry County, IN"	"18123"	4502	422242	1066.2
	"Pike County, IN"	"18125"	3210	280677	1143.7
	"Porter County, IN"	"18127"	29513	3541977	833.2
	"Posey County, IN"	"18129"	5170	573392	901.7
	"Pulaski County, IN"	"18131"	3402	291512	1167.0
	"Putnam County, IN"	"18133"	7376	823658	895.5
	"Randolph County, IN"	"18135"	6553	572008	1145.6
	"Ripley County, IN"	"18137"	6264	619301	1011.5
	"Rush County, IN"	"18139"	4240	382589	1108.2
	"St. Joseph County, IN"	"18141"	56381	5877318	959.3
	"Scott County, IN"	"18143"	6233	522407	1193.1
	"Shelby County, IN"	"18145"	9471	971018	975.4
	"Spencer County, IN"	"18147"	4200	454746	923.6
	"Starke County, IN"	"18149"	5979	510941	1170.2
	"Steuben County, IN"	"18151"	6587	748849	879.6
	"Sullivan County, IN"	"18153"	5312	469207	1132.1
	"Switzerland County, IN"	"18155"	2163	224829	962.1
	"Tippecanoe County, IN"	"18157"	24398	3776727	646.0
	"Tipton County, IN"	"18159"	3759	349935	1074.2
	"Union County, IN"	"18161"	1569	160859	975.4
	"Vanderburgh County, IN"	"18163"	42370	3920540	1080.7
	"Vermillion County, IN"	"18165"	4647	355456	1307.3
	"Vigo County, IN"	"18167"	25532	2351139	1085.9
	"Wabash County, IN"	"18169"	9137	725526	1259.4
	"Warren County, IN"	"18171"	1860	185460	1002.9
	"Warrick County, IN"	"18173"	11427	1286591	888.2
	"Washington County, IN"	"18175"	6279	613362	1023.7
	"Wayne County, IN"	"18177"	18557	1509857	1229.1
	"Wells County, IN"	"18179"	6088	612259	994.4
	"White County, IN"	"18181"	5997	542679	1105.1
	"Whitley County, IN"	"18183"	6579	720606	913.0
	"Adair County, IA"	"19001"	2437	168215	1448.7
	"Adams County, IA"	"19003"	1124	88990	1263.1
	"Allamakee County, IA"	"19005"	3724	312152	1193.0
	"Appanoose County, IA"	"19007"	3896	285508	1364.6
	"Audubon County, IA"	"19009"	1922	134260	1431.6
	"Benton County, IA"	"19011"	5178	567766	912.0
	"Black Hawk County, IA"	"19013"	25969	2859004	908.3
	"Boone County, IA"	"19015"	6426	579734	1108.4
	"Bremer County, IA"	"19017"	4923	533493	922.8
	"Buchanan County, IA"	"19019"	4475	462512	967.5
	"Buena Vista County, IA"	"19021"	4182	443674	942.6
	"Butler County, IA"	"19023"	4177	327461	1275.6
	"Calhoun County, IA"	"19025"	3138	221820	1414.7
	"Carroll County, IA"	"19027"	5285	456511	1157.7
	"Cass County, IA"	"19029"	4307	303229	1420.4
	"Cedar County, IA"	"19031"	3889	404092	962.4
	"Cerro Gordo County, IA"	"19033"	11340	972019	1166.6
	"Cherokee County, IA"	"19035"	3522	265536	1326.4
	"Chickasaw County, IA"	"19037"	3040	274143	1108.9
	"Clarke County, IA"	"19039"	2345	203687	1151.3
	"Clay County, IA"	"19041"	4134	366786	1127.1
	"Clayton County, IA"	"19043"	4494	397050	1131.8
	"Clinton County, IA"	"19045"	12087	1070625	1129.0
	"Crawford County, IA"	"19047"	3733	374478	996.9
	"Dallas County, IA"	"19049"	8548	1453174	588.2
	"Davis County, IA"	"19051"	1968	192097	1024.5
	"Decatur County, IA"	"19053"	2087	183721	1136.0
	"Delaware County, IA"	"19055"	3686	389985	945.2
	"Des Moines County, IA"	"19057"	9897	888370	1114.1
	"Dickinson County, IA"	"19059"	4223	369672	1142.4
	"Dubuque County, IA"	"19061"	19402	2054628	944.3
	"Emmet County, IA"	"19063"	2818	224229	1256.8
	"Fayette County, IA"	"19065"	5581	458183	1218.1
	"Floyd County, IA"	"19067"	4368	357656	1221.3
	"Franklin County, IA"	"19069"	2787	231459	1204.1
	"Fremont County, IA"	"19071"	2070	162431	1274.4
	"Greene County, IA"	"19073"	2703	208442	1296.8
	"Grundy County, IA"	"19075"	3051	271971	1121.8
	"Guthrie County, IA"	"19077"	2909	241590	1204.1
	"Hamilton County, IA"	"19079"	3834	344849	1111.8
	"Hancock County, IA"	"19081"	2774	250085	1109.2
	"Hardin County, IA"	"19083"	5186	389057	1333.0
	"Harrison County, IA"	"19085"	4222	326568	1292.8
	"Henry County, IA"	"19087"	4723	443587	1064.7
	"Howard County, IA"	"19089"	2614	210663	1240.8
	"Humboldt County, IA"	"19091"	2629	217199	1210.4
	"Ida County, IA"	"19093"	2245	159146	1410.7
	"Iowa County, IA"	"19095"	3894	355776	1094.5
	"Jackson County, IA"	"19097"	4859	435990	1114.5
	"Jasper County, IA"	"19099"	8206	815990	1005.6
	"Jefferson County, IA"	"19101"	3493	373748	934.6
	"Johnson County, IA"	"19103"	13728	2886749	475.6
	"Jones County, IA"	"19105"	4357	451926	964.1
	"Keokuk County, IA"	"19107"	2700	233931	1154.2
	"Kossuth County, IA"	"19109"	4086	346997	1177.5
	"Lee County, IA"	"19111"	9659	787661	1226.3
	"Linn County, IA"	"19113"	36161	4615350	783.5
	"Louisa County, IA"	"19115"	2436	255218	954.5
	"Lucas County, IA"	"19117"	2442	198257	1231.7
	"Lyon County, IA"	"19119"	2602	257258	1011.4
	"Madison County, IA"	"19121"	3182	337103	943.9
	"Mahaska County, IA"	"19123"	4981	491265	1013.9
	"Marion County, IA"	"19125"	7366	726779	1013.5
	"Marshall County, IA"	"19127"	10626	880532	1206.8
	"Mills County, IA"	"19129"	3052	327469	932.0
	"Mitchell County, IA"	"19131"	2959	236881	1249.2
	"Monona County, IA"	"19133"	3455	204524	1689.3
	"Monroe County, IA"	"19135"	2257	174501	1293.4
	"Montgomery County, IA"	"19137"	3404	237004	1436.3
	"Muscatine County, IA"	"19139"	8721	932896	934.8
	"O'Brien County, IA"	"19141"	4289	315618	1358.9
	"Osceola County, IA"	"19143"	1699	142536	1192.0
	"Page County, IA"	"19145"	4666	351240	1328.4
	"Palo Alto County, IA"	"19147"	2879	207924	1384.6
	"Plymouth County, IA"	"19149"	5426	549080	988.2
	"Pocahontas County, IA"	"19151"	2268	165202	1372.9
	"Polk County, IA"	"19153"	69825	9471893	737.2
	"Pottawattamie County, IA"	"19155"	19792	2012471	983.5
	"Poweshiek County, IA"	"19157"	4862	413573	1175.6
	"Ringgold County, IA"	"19159"	1788	113659	1573.1
	"Sac County, IA"	"19161"	3205	229954	1393.8
	"Scott County, IA"	"19163"	31178	3632979	858.2
	"Shelby County, IA"	"19165"	3286	269807	1217.9
	"Sioux County, IA"	"19167"	5582	738745	755.6
	"Story County, IA"	"19169"	10943	1958495	558.7
	"Tama County, IA"	"19171"	4560	389045	1172.1
	"Taylor County, IA"	"19173"	1868	141385	1321.2
	"Union County, IA"	"19175"	3315	271727	1220.0
	"Van Buren County, IA"	"19177"	2096	165021	1270.1
	"Wapello County, IA"	"19179"	9242	780619	1183.9
	"Warren County, IA"	"19181"	8328	1010452	824.2
	"Washington County, IA"	"19183"	5288	476121	1110.6
	"Wayne County, IA"	"19185"	2081	142500	1460.4
	"Webster County, IA"	"19187"	10165	836071	1215.8
	"Winnebago County, IA"	"19189"	2923	240757	1214.1
	"Winneshiek County, IA"	"19191"	4051	458497	883.5
	"Woodbury County, IA"	"19193"	20897	2249772	928.8
	"Worth County, IA"	"19195"	1985	167773	1183.1
	"Wright County, IA"	"19197"	3832	292980	1307.9
	"Allen County, KS"	"20001"	3881	293935	1320.4
	"Anderson County, KS"	"20003"	2188	176314	1241.0
	"Atchison County, KS"	"20005"	4009	366699	1093.3
	"Barber County, KS"	"20007"	1451	107385	1351.2
	"Barton County, KS"	"20009"	6801	600328	1132.9
	"Bourbon County, KS"	"20011"	4240	329258	1287.7
	"Brown County, KS"	"20013"	3000	220604	1359.9
	"Butler County, KS"	"20015"	13089	1413695	925.9
	"Chase County, KS"	"20017"	786	61935	1269.1
	"Chautauqua County, KS"	"20019"	1333	82223	1621.2
	"Cherokee County, KS"	"20021"	6032	469455	1284.9
	"Cheyenne County, KS"	"20023"	893	61900	1442.6
	"Clark County, KS"	"20025"	701	48517	1444.9
	"Clay County, KS"	"20027"	2368	185309	1277.9
	"Cloud County, KS"	"20029"	3222	208707	1543.8
	"Coffey County, KS"	"20031"	2278	187842	1212.7
	"Comanche County, KS"	"20033"	732	41354	1770.1
	"Cowley County, KS"	"20035"	9583	791170	1211.2
	"Crawford County, KS"	"20037"	9748	855131	1139.9
	"Decatur County, KS"	"20039"	1107	67306	1644.7
	"Dickinson County, KS"	"20041"	5196	424089	1225.2
	"Doniphan County, KS"	"20043"	1856	174159	1065.7
	"Douglas County, KS"	"20045"	13881	2442797	568.2
	"Edwards County, KS"	"20047"	969	67699	1431.3
	"Elk County, KS"	"20049"	1046	62825	1664.9
	"Ellis County, KS"	"20051"	5439	621256	875.5
	"Ellsworth County, KS"	"20053"	1858	140657	1320.9
	"Finney County, KS"	"20055"	4639	819475	566.1
	"Ford County, KS"	"20057"	5497	731330	751.6
	"Franklin County, KS"	"20059"	5550	562123	987.3
	"Geary County, KS"	"20061"	4515	695609	649.1
	"Gove County, KS"	"20063"	857	61166	1401.1
	"Graham County, KS"	"20065"	815	58826	1385.4
	"Grant County, KS"	"20067"	1209	169564	713.0
	"Gray County, KS"	"20069"	1152	131110	878.7
	"Greeley County, KS"	"20071"	416	28979	1435.5
	"Greenwood County, KS"	"20073"	2367	149129	1587.2
	"Hamilton County, KS"	"20075"	627	57570	1089.1
	"Harper County, KS"	"20077"	2160	131724	1639.8
	"Harvey County, KS"	"20079"	8401	750028	1120.1
	"Haskell County, KS"	"20081"	657	91468	718.3
	"Hodgeman County, KS"	"20083"	503	43258	1162.8
	"Jackson County, KS"	"20085"	2948	290223	1015.8
	"Jefferson County, KS"	"20087"	3849	415852	925.6
	"Jewell County, KS"	"20089"	1023	70028	1460.8
	"Johnson County, KS"	"20091"	75268	11790354	638.4
	"Kearny County, KS"	"20093"	829	89498	926.3
	"Kingman County, KS"	"20095"	2740	174578	1569.5
	"Kiowa County, KS"	"20097"	699	60733	1150.9
	"Labette County, KS"	"20099"	6168	470676	1310.5
	"Lane County, KS"	"20101"	612	39306	1557.0
	"Leavenworth County, KS"	"20103"	12522	1662505	753.2
	"Lincoln County, KS"	"20105"	993	72067	1377.9
	"Linn County, KS"	"20107"	2499	213032	1173.1
	"Logan County, KS"	"20109"	807	62647	1288.2
	"Lyon County, KS"	"20111"	6442	760450	847.1
	"McPherson County, KS"	"20113"	8027	640927	1252.4
	"Marion County, KS"	"20115"	3782	277165	1364.5
	"Marshall County, KS"	"20117"	3006	223745	1343.5
	"Meade County, KS"	"20119"	1107	97570	1134.6
	"Miami County, KS"	"20121"	5932	697139	850.9
	"Mitchell County, KS"	"20123"	2044	140969	1450.0
	"Montgomery County, KS"	"20125"	10114	758661	1333.1
	"Morris County, KS"	"20127"	1703	128309	1327.3
	"Morton County, KS"	"20129"	806	69076	1166.8
	"Nemaha County, KS"	"20131"	3087	226585	1362.4
	"Neosho County, KS"	"20133"	4485	362377	1237.7
	"Ness County, KS"	"20135"	1059	68516	1545.6
	"Norton County, KS"	"20137"	1518	124498	1219.3
	"Osage County, KS"	"20139"	4172	358862	1162.6
	"Osborne County, KS"	"20141"	1416	85897	1648.5
	"Ottawa County, KS"	"20143"	1629	132786	1226.8
	"Pawnee County, KS"	"20145"	1844	151537	1216.9
	"Phillips County, KS"	"20147"	1750	123036	1422.3
	"Pottawatomie County, KS"	"20149"	3777	468672	805.9
	"Pratt County, KS"	"20151"	2666	211218	1262.2
	"Rawlins County, KS"	"20153"	897	58411	1535.7
	"Reno County, KS"	"20155"	15837	1402800	1129.0
	"Republic County, KS"	"20157"	1940	111537	1739.3
	"Rice County, KS"	"20159"	2821	222660	1267.0
	"Riley County, KS"	"20161"	7292	1531044	476.3
	"Rooks County, KS"	"20163"	1522	115631	1316.3
	"Rush County, KS"	"20165"	1204	72019	1671.8
	"Russell County, KS"	"20167"	2231	153945	1449.2
	"Saline County, KS"	"20169"	11747	1203975	975.7
	"Scott County, KS"	"20171"	1211	108040	1120.9
	"Sedgwick County, KS"	"20173"	90471	10751741	841.5
	"Seward County, KS"	"20175"	3022	496320	608.9
	"Shawnee County, KS"	"20177"	39231	3852081	1018.4
	"Sheridan County, KS"	"20179"	721	57126	1262.1
	"Sherman County, KS"	"20181"	1599	135063	1183.9
	"Smith County, KS"	"20183"	1430	86890	1645.8
	"Stafford County, KS"	"20185"	1379	97102	1420.2
	"Stanton County, KS"	"20187"	434	48461	895.6
